epoch,train_loss,val_loss,val_dice,val_iou
0,0.694432383775711,0.7944807211558024,0.13803046941757202,0.07614072163899739
1,0.6138574123382569,0.7206964095433553,0.8104767203330994,0.6833160718282064
2,0.5839511394500733,0.6196344693501791,0.9352106054623922,0.8785097797711691
3,0.5599535048007965,0.5662622451782227,0.8814542690912882,0.7883785963058472
4,0.5402942299842834,0.5322379469871521,0.8844646612803141,0.7932431697845459
5,0.521207931637764,0.5125791629155477,0.9138996601104736,0.8417354822158813
6,0.5030027449131012,0.48807840545972186,0.9350989858309428,0.8783689538637797
7,0.48330881297588346,0.4702998995780945,0.9528329968452454,0.9101611971855164
8,0.4646186321973801,0.4541638990243276,0.9821774562199911,0.965040942033132
9,0.44570659697055814,0.4412088096141815,0.9728659391403198,0.9472689032554626
10,0.4265327572822571,0.41346073150634766,0.9775767723719279,0.9562122424443563
11,0.40856444239616396,0.41252148151397705,0.9917371074358622,0.9836266040802002
12,0.39064269363880155,0.3828261097272237,0.9803419709205627,0.9615056316057841
13,0.3725349336862564,0.3682391742865245,0.9901566306749979,0.9805232485135397
14,0.35469710230827334,0.35416557391484577,0.9919506708780924,0.9840474526087443
