epoch,train_loss,val_loss,val_dice,val_iou
0,0.5495851755142211,0.6443527738253275,3.4846461827164887e-10,3.4846461827164887e-10
1,0.4556289702653885,0.5176114439964294,0.1199322094519933,0.06424077600240707
2,0.4071014255285263,0.4135205348332723,0.7820437351862589,0.6449715296427408
3,0.3738521337509155,0.3531207839647929,0.9450549880663554,0.8959927757581075
4,0.3502926200628281,0.3284086585044861,0.9529587626457214,0.9102052847544352
5,0.3293726146221161,0.3210773865381877,0.9465863108634949,0.8987284302711487
6,0.31104608476161955,0.307565172513326,0.9548681179682413,0.913800855477651
7,0.29311061203479766,0.28902527689933777,0.9742040832837423,0.949802835782369
8,0.2769595324993134,0.2624403138955434,0.9777718186378479,0.9565831422805786
9,0.26113226264715195,0.26217708985010785,0.9830126762390137,0.9666499296824137
10,0.24576146006584168,0.24305979907512665,0.984404186407725,0.9693338871002197
11,0.2321032091975212,0.22246171534061432,0.9897377093633016,0.9797020554542542
12,0.21886489540338516,0.21333796282609305,0.9893658757209778,0.978982667128245
13,0.20610662400722504,0.20007982353369394,0.9892900586128235,0.978839377562205
14,0.19407235980033874,0.18889141082763672,0.9952259461085001,0.9905013640721639
