loss_function,final_val_dice,final_val_iou,best_val_dice
BCE only,0.9952259461085,0.990501364072164,0.9952259461085
Dice only,0.9925779700279236,0.9852848649024964,0.9936446746190388
BCE + Dice (Task 3 model),0.9919506708780924,0.9840474526087444,0.9919506708780924
