epoch,train_loss,val_loss,val_dice,val_iou
0,0.7735876560211181,0.869698186715444,0.016325555741786957,0.008245961585392555
1,0.7284876346588135,0.856568177541097,0.6988811492919922,0.5393876632054647
2,0.7097316145896911,0.8309653798739115,0.9203428427378336,0.8526830275853475
3,0.6934743165969849,0.764076292514801,0.9371715784072876,0.8819647431373596
4,0.6791863381862641,0.7257840633392334,0.8863771557807922,0.796517034371694
5,0.6649894177913666,0.7125771641731262,0.8969651460647583,0.8138300577799479
6,0.6503953814506531,0.6779151956240336,0.9053697387377421,0.8274589776992798
7,0.6331680357456207,0.6551262338956197,0.9177578687667847,0.8482677936553955
8,0.6180972397327423,0.634072462717692,0.9424872199694315,0.8916087945302328
9,0.6006485521793365,0.627271811167399,0.957834800084432,0.9194331765174866
10,0.5817183196544647,0.5941649476687113,0.9596052964528402,0.9226607282956442
11,0.5640617191791535,0.5660534302393595,0.979185144106547,0.959284782409668
12,0.5444249391555787,0.5500507354736328,0.9864907662073771,0.9733864068984985
13,0.5222437679767609,0.5372004508972168,0.9936446746190389,0.9873824119567871
14,0.4992315828800201,0.5118105808893839,0.9925779700279236,0.9852848649024963
