image_id,split,otsu_dice,otsu_iou,unet_dice,unet_iou,better_method,dice_margin
val_000,val,0.9783950448036194,0.9577039480209351,0.991466224193573,0.9830769300460815,unet,0.013071179389953613
val_001,val,0.9770011305809021,0.9550363421440125,0.989513635635376,0.9792448878288269,unet,0.012512505054473877
val_002,val,0.9807623624801636,0.9622509479522705,0.9957127571105957,0.9914621114730835,unet,0.014950394630432129
val_003,val,0.9772492051124573,0.9555106163024902,0.9901687502861023,0.9805288910865784,unet,0.01291954517364502
val_004,val,0.9749358892440796,0.9510974884033203,0.9938196539878845,0.9877151846885681,unet,0.01888376474380493
val_005,val,0.9694430232048035,0.9406981468200684,0.9933197498321533,0.9867281913757324,unet,0.023876726627349854
val_006,val,0.9726495742797852,0.9467554092407227,0.9906489253044128,0.981471061706543,unet,0.017999351024627686
val_007,val,0.9800156950950623,0.9608144164085388,0.9944460391998291,0.9889534711837769,unet,0.014430344104766846
val_008,val,0.9833634495735168,0.9672713875770569,0.9956406354904175,0.9913191199302673,unet,0.012277185916900635
val_009,val,0.9740848541259766,0.9494789838790894,0.9912959337234497,0.9827420711517334,unet,0.017211079597473145
val_010,val,0.9750784039497375,0.9513687491416931,0.9954091906547546,0.9908604025840759,unet,0.02033078670501709
val_011,val,0.9829872250556946,0.9665436148643494,0.99522864818573,0.990502655506134,unet,0.0122414231300354
val_012,val,0.98046875,0.961685836315155,0.9867498278617859,0.9738461375236511,unet,0.006281077861785889
val_013,val,0.9767807126045227,0.9546152353286743,0.9928571581840515,0.9858155846595764,unet,0.01607644557952881
val_014,val,0.9799386262893677,0.9606663584709167,0.9930465817451477,0.9861891269683838,unet,0.01310795545578003
val_015,val,0.9789566397666931,0.9587806463241577,0.9886308312416077,0.977517306804657,unet,0.00967419147491455
val_016,val,0.9790655374526978,0.9589896202087402,0.990414023399353,0.9810101389884949,unet,0.011348485946655273
val_017,val,0.9809531569480896,0.962618350982666,0.9911962151527405,0.9825460314750671,unet,0.010243058204650879
val_018,val,0.9757301807403564,0.952610433101654,0.9865360856056213,0.9734299778938293,unet,0.010805904865264893
val_019,val,0.9748427867889404,0.9509202241897583,0.9962847232818604,0.9925969839096069,unet,0.021441936492919922
test_000,test,0.9819238185882568,0.9644895195960999,0.993514895439148,0.9871134161949158,unet,0.011591076850891113
test_001,test,0.9750712513923645,0.9513550996780396,0.9865819215774536,0.9735191464424133,unet,0.011510670185089111
test_002,test,0.981171727180481,0.9630393385887146,0.9927643537521362,0.9856326580047607,unet,0.011592626571655273
test_003,test,0.9808140993118286,0.9623505473136902,0.9890843629837036,0.9784044623374939,unet,0.008270263671875
test_004,test,0.9796236157417297,0.9600610136985779,0.9945439696311951,0.9891471862792969,unet,0.014920353889465332
test_005,test,0.9769154191017151,0.9548725485801697,0.9938106536865234,0.987697422504425,unet,0.01689523458480835
test_006,test,0.9684813618659973,0.9388889074325562,0.9874922037124634,0.9752933979034424,unet,0.019010841846466064
test_007,test,0.9766606688499451,0.9543859362602234,0.9940145015716553,0.9881002306938171,unet,0.017353832721710205
test_008,test,0.9804847240447998,0.9617165327072144,0.9962073564529419,0.992443323135376,unet,0.01572263240814209
test_009,test,0.978905200958252,0.9586820006370544,0.9886363744735718,0.9775280952453613,unet,0.009731173515319824
test_010,test,0.9731809496879578,0.9477628469467163,0.990001916885376,0.9802017211914062,unet,0.016820967197418213
test_011,test,0.9727956056594849,0.9470322132110596,0.9880134463310242,0.9763109087944031,unet,0.015217840671539307
